 Повар  из  Архангельска  решила  испытать  себя  в  кулинарной  битве  на  канале  «Пятница!» ;https://www.news29.ru/novosti/obschestvo/Povar_iz_Arhangelska_prishla_na_kasting_v_kulinarnoe_shou_na_kanale_Pjatnica_/98890; 28.11.22  13:37 ;1534;Общество
 В  Архангельске  завершилась  реставрация  памятника  Петру  I   ;https://www.news29.ru/novosti/kultura/V_Arhangelske_zavershilas_restavracija_pamjatnika_Petru_I_/98887; 28.11.22  13:27 ;908;Культура
 Группа  Аквилон:  жилье  для  северян ;https://www.news29.ru/novosti/ekonomika/Gruppa_Akvilon_zhile_dlja_severjan/98886; 28.11.22  13:00 ;704;Экономика
 По  вине  пьяного  водителя  в  Вельске  пострадал  ребёнок ;https://www.news29.ru/novosti/proishestvija/Po_vine_pjanogo_voditelja_v_Velskom_rajone_postradal_rebjonok/98879; 28.11.22  13:00 ;649;Происшествия
 Воспитанников  архангельской  колонии  приобщают  к  прекрасному ;https://www.news29.ru/novosti/obschestvo/Vospitannikov_kolonii_priobschajut_k_prekrasnomu/98888; 28.11.22  13:00 ;313;Общество
 В  Архангельске  состоялся  турнир  памяти  погибшего  сотрудника  ФСБ  Дениса  Романова ;https://www.news29.ru/novosti/sport/V_Arhangelske_proveli_turnir_po_basketbolu_v_pamjat_sotrudniku_FSB_Denisa_Romanova/98889; 28.11.22  13:00 ;446;Спорт
 Масштабные  пожарные  учения  прошли  в  архангельском  драмтеатре ;https://www.news29.ru/novosti/obschestvo/Masshtabnye_pozharnye_uchenija_proshli_v_arhangelskom_dramteatre/98885; 28.11.22  12:46 ;600;Общество
 В  Ленском  районе  мужчина  по  ошибке  застрелил  другого  охотника ;https://www.news29.ru/novosti/proishestvija/V_Lenskom_rajone_muzhchina_po_oshibke_zastrelil_drugogo_ohotnika/98884; 28.11.22  10:48 ;966;Происшествия
 Архангелогородцы  на  фестивале  Arctic  Open  смогут  посмотреть  кино  под  открытым  небом ;https://www.news29.ru/novosti/kultura/Arhangelogorodcy_na_festivale_Arctic_Open_smogut_posmotret_kino_pod_otkrytym_nebom/98883; 28.11.22  10:23 ;489;Культура
 В  Минтрансе  Поморья  ответили,  когда  вновь  включат  подсветку  Краснофлотского  моста ;https://www.news29.ru/novosti/obschestvo/V_Mintranse_Pomorja_otvetili_kogda_vnov_vkljuchat_podsvetku_Krasnoflotskogo_mosta/98882; 28.11.22  10:05 ;627;Общество
 В  Вельске  вынесли  приговор  медикам  по  делу  о  смерти  малыша ;https://www.news29.ru/novosti/obschestvo/V_Velske_vynesli_prigovor_medikam_po_delu_o_smerti_malysha/98881; 28.11.22  09:38 ;1218;Общество
 Два  лебедя  не  смогли  улететь  из  Архангельской  области  этой  осенью ;https://www.news29.ru/novosti/obschestvo/Dva_lebedja_ne_smogli_uletet_iz_Arhangelskoj_oblasti_etoj_osenju/98880; 27.11.22  22:04 ;885;Общество
 В  Поморье  выбрали  очередную  королеву  красоты ;https://www.news29.ru/novosti/obschestvo/V_Pomore_vybrali_ocherednuju_korolevu_krasoty/98875; 27.11.22  17:09 ;2508;Общество
 Дмитрий  Морев  встретился  с  родителями  погибших  военнослужащих ;https://www.news29.ru/novosti/obschestvo/Dmitrij_Morev_vstretilsja_s_roditeljami_pogibshih_voennosluzhaschih/98870; 27.11.22  15:00 ;1583;Общество
 В  Архангельске  объявили  о  завершении  реставрации  уцелевшего  трамвайного  вагона ;https://www.news29.ru/novosti/obschestvo/V_Arhangelske_objavili_o_zavershenii_restavracii_ucelevshego_tramvajnogo_vagona/98877; 27.11.22  14:46 ;2910;Общество
 Петровский  парк  в  Архангельске  к  новогодним  праздникам  превратят  в  огромный  каток ;https://www.news29.ru/novosti/obschestvo/Petrovskij_park_v_Arhangelske_k_novogodnim_prazdnikam_prevratjat_v_ogromnyj_katok/98876; 27.11.22  14:14 ;3254;Общество
 Архангельский  «Водник»  одержал  шестую  победу  подряд  в  чемпионате  России ;https://www.news29.ru/novosti/sport/Arhangelskij_Vodnik_oderzhal_shestuju_pobedu_podrjad_v_chempionate_Rossii/98874; 26.11.22  20:07 ;1498;Спорт
 В  Архангельске  зажгли  первую  новогоднюю  ёлку ;https://www.news29.ru/novosti/obschestvo/V_Arhangelske_zazhgli_pervuju_novogodnjuju_jolku/98873; 26.11.22  17:55 ;1332;Общество
 Архангельские  росгвардейцы  традиционно  почтили  память  Олега  Неверовского ;https://www.news29.ru/novosti/obschestvo/Arhangelskie_rosgvardejcy_tradicionno_pochtili_pamjat_Olega_Neverovskogo/98872; 26.11.22  15:00 ;1288;Общество
 Поморье  вошло  в  пятерку  регионов-лидеров  по  инвестиционной  привлекательности ;https://www.news29.ru/novosti/obschestvo/Pomore_voshlo_v_pjaterku_regionov_liderov_po_investicionnoj_privlekatelnosti/98869; 26.11.22  14:00 ;1693;Общество
 В  День  всех  влюбленных  в  Архангельске  выступит  театр  Егора  Дружинина ;https://www.news29.ru/novosti/kultura/V_Den_vseh_vljublennyh_v_Arhangelske_vystupit_teatr_Egora_Druzhinina/98871; 26.11.22  14:00 ;929;Культура
 «Ночная  хоккейная  лига»  набирает  обороты  среди  любителей  спорта  в  Поморье ;https://www.news29.ru/novosti/sport/_Nochnaja_hokkejnaja_liga_nabiraet_oboroty_sredi_ljubitelej_sporta_v_Pomore/98865; 26.11.22  13:35 ;1001;Спорт
 Огнеборцы,  полиция  и  скорая  были  стянуты  к  месту  пожара  на  жд-мосту  в  Архангельске ;https://www.news29.ru/novosti/proishestvija/Pozharnye_policija_i_skoraja_byli_stjanuty_k_mestu_pozhara_na_zhd_mostu_v_Arhangelske/98868; 26.11.22  13:27 ;2268;Происшествия
 «Штабного»  Ильича  возле  нового  IT-парка  в  Архангельске  заменил  «цифровой»  додекаэдр ;https://www.news29.ru/novosti/obschestvo/_Shtabnogo_Ilicha_vozle_novogo_IT_parka_v_Arhangelske_zamenil_cifrovoj_dodekaedr/98867; 25.11.22  19:59 ;3323;Общество
 Власти  создадут  госинформресурс  с  актуальными  данными  воинов-резервистов ;https://www.news29.ru/novosti/obschestvo/Vlasti_sozdadut_gosinformresurs_s_aktualnymi_dannymi_voinov_rezervistov/98866; 25.11.22  17:55 ;1187;Общество
 Архангелогородец  неудачно  вложил  1,5  миллиона  в  надежде  заработать ;https://www.news29.ru/novosti/obschestvo/Arhangelogorodec_neudachno_vlozhil_1_5_milliona_v_nadezhde_zarabotat/98864; 25.11.22  15:00 ;1565;Общество
 Четверть  тонны  «санитарного»  мусора  ежедневно  смывают  архангелогородцы  в  унитазы ;https://www.news29.ru/novosti/obschestvo/Pochti_250_kg_musora_ezhednevno_smyvajut_arhangelogorodcy_v_unitazy/98863; 25.11.22  14:53 ;1387;Общество
 Архангельскую  Чумбаровку  превратят  в  ремесленый  проспект  ко  Дню  города ;https://www.news29.ru/novosti/obschestvo/Arhangelskuju_Chumbarovku_prevratitsja_v_remeslenyj_prospekt_ko_Dnju_goroda/98860; 25.11.22  14:38 ;1016;Общество
 Олимпийский  чемпион  даст  старт  в  Архангельске  Кубку  Арктики  по  греко-римской  борьбе ;https://www.news29.ru/novosti/sport/v_Arhangelske_startuet_Kubok_Arktiki_po_greko_rimskoj_borbe/98861; 25.11.22  14:00 ;1080;Спорт
 В  Архангельске  выявили  партию  свежих  гранат  с  вредными  для  человека  насекомыми ;https://www.news29.ru/novosti/obschestvo/V_Arhangelske_v_partii_granat_obnaruzhena_mnogojadnaja_muha_gorbatka/98862; 25.11.22  14:00 ;1511;Общество
 В  Архангельске  пенсионерку  ограбил  недавно  освободившийся  из  колонии  рецидивист ;https://www.news29.ru/novosti/obschestvo/V_Arhangelske_pensionerku_ograbil_nedavno_osvobodivshijsja_iz_kolonii_recidivist/98849; 25.11.22  13:54 ;1018;Общество
 Тушение  пожара  на  судоремонтном  заводе  близ  Архангельска  продолжалось  весь  день ;https://www.news29.ru/novosti/proishestvija/Tushenie_pozhara_na_sudoremontnom_zavode_bliz_Arhangelska_prodolzhalos_ves_den/98856; 25.11.22  13:41 ;1313;Происшествия
 Сотрудник  ГИБДД  помог  экстренно  доставить  кондуктора  в  архангельскую  больницу ;https://www.news29.ru/novosti/obschestvo/V_Arhangelske_sotrudnik_GIBDD_pomog_ekstrenno_dostavit_konduktora_v_bolnicu/98858; 25.11.22  13:40 ;1392;Общество
 В  Архангельске  осудят  сотрудника  УФСИН  за  «подгон»  осуждённому ;https://www.news29.ru/novosti/obschestvo/V_Arhangelske_osudjat_sotrudnika_UFSIN_za_podgon_osuzhdjonnomu/98857; 25.11.22  13:00 ;906;Общество
 На  Первом  канале  покажут  «Жизнь  своих»  с  участием  жителей  Архангельской  области ;https://www.news29.ru/novosti/kultura/Na_Pervom_kanale_pokazhut_peredachu_Zhizn_svoih_pro_Arhangelskuju_oblast/98855; 25.11.22  12:56 ;1960;Культура
 В  Архангельске  изменится  схема  движения  на  перекрестке  набережной  и  улицы  Урицкого ;https://www.news29.ru/novosti/obschestvo/V_Arhangelske_izmenitsja_shema_dvizhenija_na_perekrestke_naberezhnoj_i_ulicy_Urickogo/98853; 25.11.22  10:34 ;2315;Общество
 С  начала  года  жители  Поморья  перевели  мошенникам  более  430  млн  рублей ;https://www.news29.ru/novosti/obschestvo/S_nachala_goda_zhiteli_Pomorja_pereveli_moshennikam_bolee_430_mln_rublej/98848; 25.11.22  10:21 ;705;Общество
 В  Северодвинске  задержали  девушку  со  свёртком  наркотиков ;https://www.news29.ru/novosti/obschestvo/V_Severodvinske_zaderzhali_devushku_so_svjortkom_narkotikov/98844; 25.11.22  10:16 ;1110;Общество
